PC1,PC2,Country
416.78677,92.6215,Canada
71.35703,20.262096,Chile
64.3616,3.683506,Colombia
7.3315163,-1.7368237,Costa Rica
312.87094,85.26094,Mexico
3776.6519,898.3934,United States
277.78134,126.96697,Australia
48.51942,18.091404,Israel
746.7791,396.5333,Japan
425.6877,223.08258,Korea
24.69877,1.2903361,New Zealand
47.693176,9.4408045,Austria
63.61593,15.227072,Belgium
71.03739,34.54962,Czech Republic
22.304651,3.5381234,Denmark
7.8401337,3.7142746,Estonia
26.852821,10.196651,Finland
238.95003,14.753301,France
482.90808,192.08519,Germany
41.308937,11.330258,Greece
35.040707,6.2636647,Hungary
1.2575607,-0.22723311,Iceland
27.05837,5.7151256,Ireland
253.96432,60.09361,Italy
5.137607,-0.13962243,Latvia
9.850882,-0.39390326,Lithuania
6.315974,-1.2385457,Luxembourg
93.54843,39.728817,Netherlands
28.089134,6.2350287,Norway
224.15436,96.91828,Poland
30.572962,3.3906338,Portugal
22.581814,7.6958995,Slovak Republic
10.429242,1.0935588,Slovenia
181.2277,25.353405,Spain
27.468956,4.800302,Sweden
27.575706,-0.5768564,Switzerland
304.60056,125.88431,Republic of Türkiye
252.85815,43.364933,United Kingdom
3.0269387,0.18526359,Albania
5.6551566,1.0081894,Armenia
28.603304,9.417482,Azerbaijan
38.410957,19.812649,Belarus
16.072222,9.002238,Bosnia and Herzegovina
33.67799,17.830801,Bulgaria
13.207265,1.5938936,Croatia
4.959165,1.7701492,Cyprus
9.178142,1.1032463,Georgia
0.63976634,-0.18372032,Gibraltar
167.8103,108.79764,Kazakhstan
6.470576,4.185273,Kosovo
7.0361223,2.3679984,Kyrgyzstan
1.4875491,0.31748345,Malta
6.03083,1.8711239,Republic of Moldova
2.2029848,0.7370329,Montenegro
6.218922,2.5649636,Republic of North Macedonia
53.63812,15.687963,Romania
1212.3737,745.4097,Russian Federation
34.83017,19.991728,Serbia
5.777461,1.7733591,Tajikistan
65.625114,28.180103,Turkmenistan
64.6118,52.162918,Ukraine
86.06366,41.681206,Uzbekistan
122.04172,34.947155,Algeria
18.33744,1.0420759,Angola
5.674848,-1.3008559,Benin
5.3844256,1.7862097,Botswana
6.067785,0.023643643,Cameroon
3.545951,1.592312,Congo
13.779177,1.4957801,Côte d'Ivoire
4.8138027,-1.9615185,Dem. Rep. of Congo
173.66515,73.66143,Egypt
2.4138258,1.468377,Equatorial Guinea
0.5575916,0.15659037,Eritrea
1.0531019,-0.26350754,Kingdom of Eswatini
12.5716505,1.2919613,Ethiopia
1.8843457,1.420819,Gabon
17.338057,2.0999672,Ghana
16.175648,-1.047156,Kenya
38.097965,9.570186,Libya
3.4433851,1.0756294,Madagascar
3.2546024,1.3539412,Mauritius
53.154217,21.2973,Morocco
6.957866,0.18812154,Mozambique
2.889238,-0.8157033,Namibia
2.6284113,0.06906459,Niger
92.7975,-5.9744587,Nigeria
1.5562357,0.23223789,Rwanda
9.707113,2.0113878,Senegal
295.0993,195.8273,South Africa
1.4832776,-0.0049465518,South Sudan
16.91366,-2.2967231,Sudan
15.916314,0.24425726,United Rep. of Tanzania
1.8028286,-0.2089983,Togo
20.973742,6.9992404,Tunisia
5.3117886,-0.30517146,Uganda
7.087884,3.4224749,Zambia
7.8065557,3.5045877,Zimbabwe
76.21209,53.420425,Bangladesh
6.9911494,4.0726056,Brunei Darussalam
12.165576,1.9704368,Cambodia
39.049507,32.065346,DPR of Korea
1875.6204,1301.7726,India
508.89154,278.00226,Indonesia
14.269282,10.118877,Lao People's Democratic Republic
189.67897,95.838104,Malaysia
17.067085,12.046141,Mongolia
22.347534,1.9737691,Myanmar
10.591527,2.519998,Nepal
162.81583,64.010666,Pakistan
109.090324,48.716286,Philippines
35.213192,24.477182,Singapore
16.118563,1.9350469,Sri Lanka
205.10928,132.23154,Chinese Taipei
202.35965,76.05515,Thailand
214.45401,149.45084,Viet Nam
7773.243,6177.8867,People's Rep. of China
24.171715,13.904154,"Hong Kong, China"
7797.415,6191.79,"China (incl. Hong Kong, China)"
137.23747,39.395054,Argentina
19.368174,-0.9583563,Bolivia
356.85764,24.275448,Brazil
13.602193,11.346027,Cuba
2.0339558,0.16603433,Curaçao
23.285303,9.962759,Dominican Republic
33.144882,-0.38641566,Ecuador
7.0504017,0.35625136,El Salvador
15.672111,-0.42061538,Guatemala
2.5368743,0.8275612,Guyana
2.651229,0.4131692,Haiti
8.603371,1.1465285,Honduras
5.9220586,1.4836254,Jamaica
4.2224464,0.069296524,Nicaragua
9.838005,1.0448014,Panama
7.1363535,-2.5024445,Paraguay
49.575977,5.4113235,Peru
2.0428085,0.7550306,Suriname
10.688988,5.485688,Trinidad and Tobago
6.4237943,-0.36308435,Uruguay
50.73733,20.859983,Venezuela
25.914165,18.640352,Bahrain
541.34314,223.01921,Islamic Rep. of Iran
136.16429,62.52416,Iraq
17.75353,4.1678886,Jordan
73.425476,41.310955,Kuwait
8.985062,-1.1544447,Lebanon
57.142178,17.613115,Oman
69.20552,41.469463,Qatar
427.75006,204.66534,Saudi Arabia
21.03509,11.951805,Syrian Arab Republic 
135.42534,83.02208,United Arab Emirates
6.77647,1.2379175,Yemen
