kgCO2 / capita,"Total CO2 emissions 
from fuel combustion",Electricity and heat production,"Other energy 
industry own use","Manuf. industries 
and construction",Transport,of which: road,Residential,Commercial and public services
World,4293.0,1881.0,209.0,788.0,999.0,758.0,244.0,98.0
OECD Total,7828.0,2736.0,527.0,963.0,2500.0,2199.0,611.0,352.0
Non-OECD Total,3379.0,1701.0,143.0,751.0,512.0,455.0,167.0,45.0
Canada,13440.0,1869.0,3280.0,1714.0,4211.0,3497.0,978.0,887.0
Chile,4367.0,1480.0,94.0,807.0,1573.0,1441.0,235.0,114.0
Colombia,1452.0,255.0,76.0,236.0,715.0,709.0,112.0,23.0
Costa Rica,1454.0,1.0,0.0,238.0,1095.0,1089.0,51.0,31.0
Mexico,2953.0,982.0,355.0,350.0,1010.0,982.0,146.0,36.0
United States,13813.0,4826.0,758.0,1365.0,5095.0,4237.0,953.0,701.0
OECD Americas,9847.0,3210.0,749.0,1034.0,3583.0,3028.0,668.0,480.0
Australia,13638.0,6328.0,1548.0,1536.0,3429.0,2901.0,343.0,176.0
Israel,6240.0,3468.0,192.0,377.0,1956.0,1930.0,50.0,42.0
Japan,7793.0,3756.0,268.0,1365.0,1492.0,1331.0,394.0,379.0
Korea,10640.0,5500.0,823.0,1284.0,2051.0,1937.0,597.0,269.0
New Zealand,5579.0,825.0,104.0,1143.0,2846.0,2636.0,128.0,249.0
OECD Asia Oceania,9048.0,4397.0,546.0,1318.0,1909.0,1720.0,415.0,311.0
Austria,6274.0,1225.0,695.0,1168.0,2332.0,2293.0,632.0,141.0
Belgium,6748.0,1282.0,464.0,1238.0,1978.0,1933.0,1149.0,466.0
Czech Republic,8486.0,4318.0,308.0,1083.0,1800.0,1774.0,637.0,233.0
Denmark,4533.0,1094.0,267.0,647.0,1887.0,1774.0,270.0,121.0
Estonia,7446.0,4895.0,50.0,237.0,1851.0,1804.0,93.0,140.0
Finland,6123.0,2138.0,493.0,1121.0,1741.0,1647.0,130.0,163.0
France,4133.0,539.0,265.0,601.0,1801.0,1705.0,481.0,261.0
Germany,7303.0,2841.0,275.0,1056.0,1682.0,1633.0,1017.0,343.0
Greece,4804.0,1699.0,401.0,412.0,1665.0,1413.0,476.0,57.0
Hungary,4393.0,965.0,186.0,612.0,1516.0,1498.0,733.0,235.0
Iceland,4305.0,33.0,0.0,163.0,2567.0,2438.0,12.0,6.0
Ireland,6444.0,1898.0,65.0,727.0,2205.0,2108.0,1112.0,265.0
Italy,5258.0,1570.0,240.0,658.0,1759.0,1675.0,676.0,224.0
Latvia,3171.0,528.0,0.0,318.0,1620.0,1577.0,218.0,221.0
Lithuania,3896.0,400.0,473.0,425.0,2111.0,2055.0,284.0,102.0
Luxembourg,10305.0,303.0,0.0,1182.0,6605.0,6589.0,1385.0,721.0
Netherlands,6863.0,2239.0,630.0,1181.0,1415.0,1367.0,758.0,343.0
Norway,6524.0,306.0,2103.0,1166.0,2518.0,1559.0,2.0,176.0
Poland,7534.0,3708.0,191.0,726.0,1780.0,1766.0,744.0,157.0
Portugal,3467.0,776.0,217.0,517.0,1592.0,1525.0,154.0,85.0
Slovak Republic,5125.0,858.0,601.0,1482.0,1360.0,1332.0,515.0,265.0
Slovenia,5667.0,1632.0,1.0,802.0,2705.0,2695.0,289.0,108.0
Spain,4541.0,1026.0,372.0,568.0,1941.0,1706.0,304.0,168.0
Sweden,3095.0,572.0,337.0,673.0,1317.0,1243.0,48.0,67.0
Switzerland,3628.0,291.0,43.0,510.0,1648.0,1613.0,726.0,355.0
Republic of Türkiye,4589.0,1653.0,163.0,869.0,1060.0,998.0,457.0,268.0
United Kingdom,4564.0,1001.0,331.0,457.0,1581.0,1489.0,800.0,211.0
OECD Europe,5386.0,1653.0,300.0,761.0,1652.0,1561.0,628.0,240.0
Albania,1302.0,0.0,43.0,376.0,601.0,560.0,109.0,75.0
Armenia,2535.0,600.0,6.0,225.0,837.0,837.0,582.0,68.0
Azerbaijan,3576.0,1291.0,117.0,260.0,898.0,830.0,782.0,103.0
Belarus,5489.0,2838.0,271.0,471.0,1087.0,965.0,508.0,44.0
Bosnia and Herzegovina,6370.0,4102.0,285.0,495.0,1241.0,1241.0,126.0,75.0
Bulgaria,6625.0,4029.0,196.0,715.0,1489.0,1450.0,65.0,52.0
Croatia,4066.0,841.0,202.0,592.0,1724.0,1666.0,375.0,146.0
Cyprus,6716.0,3419.0,6.0,633.0,2082.0,2067.0,348.0,112.0
Georgia,2968.0,403.0,0.0,508.0,1185.0,1006.0,717.0,140.0
Gibraltar,19243.0,3225.0,0.0,0.0,16018.0,16018.0,0.0,0.0
Kazakhstan,11514.0,6355.0,666.0,1350.0,1206.0,1023.0,1518.0,293.0
Kosovo,4802.0,3509.0,0.0,373.0,748.0,746.0,31.0,101.0
Kyrgyzstan,1340.0,390.0,0.0,76.0,213.0,203.0,589.0,69.0
Malta,3413.0,1543.0,0.0,179.0,1392.0,1275.0,62.0,125.0
Republic of Moldova,2908.0,1203.0,0.0,262.0,867.0,859.0,332.0,92.0
Montenegro,4295.0,2412.0,0.0,303.0,1475.0,1475.0,20.0,66.0
Republic of North Macedonia,3708.0,2108.0,2.0,406.0,1098.0,1096.0,11.0,64.0
Romania,3509.0,1012.0,136.0,628.0,1094.0,1059.0,386.0,111.0
Russian Federation,11307.0,5614.0,293.0,1952.0,1860.0,1164.0,1333.0,142.0
Serbia,6658.0,4377.0,243.0,450.0,1185.0,1176.0,199.0,160.0
Tajikistan,763.0,180.0,0.0,136.0,223.0,222.0,102.0,1.0
Turkmenistan,14770.0,4005.0,832.0,2458.0,1727.0,1109.0,65.0,3730.0
Ukraine,2665.0,1296.0,49.0,302.0,44.0,1.0,305.0,87.0
Uzbekistan,3181.0,1237.0,154.0,415.0,500.0,461.0,691.0,109.0
Non-OECD Europe and Eurasia,7459.0,3588.0,234.0,1152.0,1223.0,882.0,869.0,194.0
Algeria,3363.0,1034.0,239.0,357.0,1005.0,953.0,628.0,18.0
Angola,606.0,104.0,25.0,49.0,233.0,231.0,140.0,54.0
Benin,433.0,38.0,0.0,46.0,332.0,331.0,12.0,3.0
Botswana,2457.0,1306.0,0.0,234.0,864.0,853.0,18.0,20.0
Cameroon,242.0,74.0,0.0,10.0,132.0,131.0,21.0,0.0
Congo,737.0,496.0,0.0,18.0,210.0,192.0,10.0,3.0
Côte d'Ivoire,568.0,152.0,15.0,64.0,263.0,250.0,54.0,5.0
Dem. Rep. of Congo,49.0,0.0,0.0,0.0,48.0,39.0,1.0,0.0
Egypt,1962.0,760.0,229.0,322.0,509.0,484.0,115.0,0.0
Equatorial Guinea,1895.0,376.0,506.0,685.0,254.0,242.0,45.0,28.0
Eritrea,181.0,95.0,0.0,6.0,65.0,63.0,10.0,3.0
Kingdom of Eswatini,890.0,36.0,0.0,118.0,713.0,688.0,17.0,3.0
Ethiopia,119.0,0.0,0.0,48.0,59.0,59.0,1.0,2.0
Gabon,1068.0,611.0,121.0,193.0,79.0,76.0,48.0,13.0
Ghana,594.0,210.0,5.0,60.0,296.0,276.0,13.0,2.0
Kenya,329.0,28.0,0.0,67.0,197.0,189.0,20.0,13.0
Libya,6559.0,3229.0,241.0,357.0,2576.0,2574.0,156.0,0.0
Madagascar,144.0,58.0,0.0,20.0,51.0,47.0,5.0,0.0
Mauritius,3184.0,1832.0,0.0,259.0,909.0,873.0,133.0,45.0
Morocco,1793.0,854.0,0.0,177.0,469.0,466.0,206.0,13.0
Mozambique,236.0,51.0,14.0,31.0,132.0,124.0,4.0,1.0
Namibia,1252.0,13.0,0.0,88.0,760.0,738.0,2.0,319.0
Niger,112.0,28.0,3.0,13.0,59.0,59.0,5.0,3.0
Nigeria,459.0,68.0,43.0,49.0,278.0,275.0,18.0,0.0
Rwanda,131.0,33.0,2.0,27.0,57.0,56.0,5.0,7.0
Senegal,654.0,239.0,3.0,95.0,281.0,268.0,34.0,1.0
South Africa,6579.0,3803.0,833.0,763.0,798.0,745.0,178.0,86.0
South Sudan,153.0,40.0,19.0,3.0,83.0,82.0,1.0,1.0
Sudan,385.0,73.0,2.0,26.0,258.0,253.0,11.0,6.0
United Rep. of Tanzania,267.0,52.0,0.0,50.0,152.0,150.0,12.0,0.0
Togo,217.0,39.0,0.0,20.0,139.0,139.0,13.0,6.0
Tunisia,2136.0,694.0,47.0,390.0,657.0,591.0,187.0,60.0
Uganda,127.0,3.0,0.0,32.0,78.0,73.0,2.0,1.0
Zambia,452.0,156.0,0.0,148.0,124.0,114.0,0.0,2.0
Zimbabwe,620.0,253.0,9.0,124.0,138.0,125.0,22.0,54.0
Other Africa,219.0,39.0,0.0,36.0,122.0,114.0,8.0,2.0
Africa,886.0,348.0,71.0,114.0,269.0,258.0,56.0,9.0
Bangladesh,607.0,353.0,1.0,105.0,79.0,60.0,43.0,2.0
Brunei Darussalam,20334.0,9547.0,6683.0,1238.0,2684.0,2662.0,181.0,1.0
Cambodia,874.0,211.0,0.0,162.0,406.0,332.0,33.0,21.0
DPR of Korea,2171.0,465.0,2.0,1127.0,175.0,39.0,185.0,56.0
India,1776.0,936.0,44.0,428.0,228.0,210.0,70.0,25.0
Indonesia,2365.0,1076.0,64.0,583.0,532.0,473.0,93.0,4.0
Lao People's Democratic Republic,2491.0,1960.0,0.0,182.0,339.0,338.0,4.0,6.0
Malaysia,7105.0,3469.0,762.0,1063.0,1587.0,1551.0,84.0,43.0
Mongolia,6956.0,4531.0,3.0,651.0,888.0,668.0,378.0,0.0
Myanmar,479.0,129.0,18.0,59.0,240.0,233.0,0.0,2.0
Nepal,418.0,0.0,0.0,194.0,157.0,155.0,42.0,12.0
Pakistan,853.0,289.0,6.0,221.0,244.0,237.0,76.0,15.0
Philippines,1190.0,671.0,12.0,113.0,309.0,275.0,30.0,52.0
Singapore,8266.0,3854.0,836.0,2378.0,1069.0,1008.0,37.0,90.0
Sri Lanka,828.0,345.0,1.0,38.0,396.0,389.0,35.0,9.0
Chinese Taipei,11282.0,6971.0,862.0,1376.0,1614.0,1587.0,198.0,176.0
Thailand,3487.0,1248.0,200.0,770.0,1087.0,1046.0,61.0,29.0
Viet Nam,2919.0,1430.0,0.0,895.0,446.0,383.0,60.0,12.0
Other Asia,510.0,127.0,10.0,123.0,196.0,162.0,41.0,3.0
Asia (excl. China),1842.0,914.0,57.0,423.0,320.0,294.0,68.0,22.0
People's Rep. of China,7515.0,4300.0,266.0,1919.0,627.0,529.0,228.0,77.0
"Hong Kong, China",4235.0,3162.0,0.0,53.0,816.0,758.0,130.0,73.0
"China (incl. Hong Kong, China)",7499.0,4294.0,265.0,1910.0,628.0,530.0,228.0,77.0
Argentina,3770.0,973.0,337.0,467.0,1102.0,1017.0,559.0,74.0
Bolivia,1767.0,274.0,71.0,175.0,1008.0,983.0,151.0,16.0
Brazil,1922.0,234.0,98.0,414.0,987.0,904.0,84.0,11.0
Cuba,1711.0,916.0,42.0,472.0,106.0,104.0,55.0,2.0
Curaçao,15172.0,3504.0,0.0,2967.0,7787.0,7787.0,914.0,0.0
Dominican Republic,2600.0,1201.0,18.0,446.0,773.0,645.0,119.0,23.0
Ecuador,2131.0,309.0,94.0,235.0,1141.0,1067.0,152.0,36.0
El Salvador,1238.0,130.0,0.0,344.0,654.0,654.0,108.0,4.0
Guatemala,982.0,110.0,10.0,211.0,577.0,576.0,71.0,2.0
Guyana,3809.0,1292.0,0.0,930.0,1322.0,1320.0,119.0,29.0
Haiti,263.0,71.0,0.0,50.0,118.0,118.0,22.0,0.0
Honduras,944.0,311.0,0.0,132.0,441.0,438.0,31.0,21.0
Jamaica,2499.0,821.0,10.0,513.0,919.0,899.0,89.0,144.0
Nicaragua,700.0,151.0,17.0,78.0,348.0,317.0,26.0,73.0
Panama,2515.0,757.0,0.0,389.0,1259.0,1244.0,100.0,10.0
Paraguay,1087.0,0.0,0.0,40.0,904.0,897.0,29.0,0.0
Peru,1669.0,372.0,80.0,297.0,787.0,762.0,86.0,38.0
Suriname,4584.0,1889.0,49.0,175.0,1525.0,876.0,99.0,56.0
Trinidad and Tobago,8955.0,3493.0,2328.0,1207.0,1667.0,1570.0,248.0,13.0
Uruguay,2097.0,232.0,113.0,282.0,1206.0,1192.0,117.0,30.0
